id,title,genre,release_year,popularity,developer,publisher,price_per_day,rating
796,Silent Hunter III,Simulation,2005,7.9,Ubisoft,Ubisoft,7468,T
797,Midnight Club 3: DUB Edition Remix,Racing,2006,5.3,Rockstar San Diego,Take-Two Interactive,7045,E10+
798,Driver 2,Action,2000,7.7,Reflections Interactive,Atari,6835,T
799,MLB 2006,Sports,2005,9,989 Sports,Sony Computer Entertainment,6800,E
800,Warriors Orochi,Action,2007,7.4,Omega Force,Tecmo Koei,8962,T
801,NBA Live 2004,Sports,2003,9,EA Sports,Electronic Arts,8620,E
802,The Crew: Wild Run,Action,2015,7.4,Ivory Tower,Ubisoft,8375,T
803,Rayman Raving Rabbids,Misc,2007,6.1,Ubisoft Bulgaria,Ubisoft,7420,E
804,Payday 2,Shooter,2013,6.2,Overkill Software,505 Games,8241,M
805,KISS Pinball,Action,2001,3.8,Wildfire Studios,Take-Two Interactive,7675,T
806,Aedis Eclipse: Generation of Chaos,Role-Playing,2006,6.5,"Neverland, Idea Factory",Idea Factory,7707,E10+
807,Dante's Inferno,Action,2010,7.5,Visceral Games,Electronic Arts,8813,M
808,The Simpsons Game,Action,2007,6.1,"Electronic Arts, Rebellion",Electronic Arts,5193,T
809,Saints Row: The Third,Action,2011,7.6,Volition Inc.,THQ,9240,M
810,Star Wars Rogue Squadron III: Rebel Strike,Simulation,2003,7.6,Factor 5,LucasArts,6664,T
811,Prince of Persia,Action,2008,7,Ubisoft Montreal,Ubisoft,6478,T
812,"Ed, Edd n Eddy: The Mis-Edventures",Platform,2005,7.6,Artificial Mind and Movement,Midway Games,5338,E
813,Mario Kart: Super Circuit,Racing,2001,8.3,Intelligent Systems,Nintendo,8901,E
814,Dragon Ball Z: Budokai Tenkaichi,Fighting,2005,8.4,Spike,Atari,8400,T
815,Worms 4: Mayhem,Strategy,2005,9.2,Team 17,Codemasters,9884,T
816,Marc Ecko's Getting Up: Contents Under Pressure,Action,2006,7.2,Double Helix Games,Atari,6261,M
817,Dynasty Warriors: Gundam 2,Action,2008,7,Omega Force,Namco Bandai Games,6574,T
818,Godzilla Unleashed: Double Smash,Action,2007,4.9,Santa Cruz Games,Atari,9307,E
819,A Vampyre Story,Adventure,2008,8.5,Autumn Moon,Crimson Cow,6998,T
820,Art Academy: Lessons for Everyone,Action,2012,7.6,"Nintendo, Headstrong Games",Nintendo,5266,E
821,Tiger Woods PGA Tour 12: The Masters,Sports,2011,7.3,Electronic Arts,Electronic Arts,7551,E
822,Samurai Western,Action,2004,7.6,Acquire,505 Games,9090,M
823,Mortal Kombat vs. DC Universe,Fighting,2008,7.1,Midway,Midway Games,6905,T
824,Medal of Honor Heroes,Shooter,2006,7.9,Team Fusion,Electronic Arts,8700,T
825,The Bureau: XCOM Declassified,Shooter,2013,6.5,2K Marin,Take-Two Interactive,6822,M
826,Army Men: Air Attack 2,Action,2000,5.3,3DO,3DO,9437,T
827,Virtua Fighter 4: Evolution,Fighting,2003,9,Sega,Sega,9868,T
828,Dead Rising 3,Action,2013,6.8,Capcom Vancouver,Microsoft Game Studios,7888,M
829,Star Ocean: The Last Hope,Role-Playing,2009,7.2,"Square Enix, Tri-Ace",Square Enix,7426,T
830,NASCAR 06: Total Team Control,Racing,2005,5.9,EA Sports,Electronic Arts,8031,E
831,The BIGS 2,Sports,2009,6.2,Blue Castle Games,Take-Two Interactive,6008,E10+
832,Combat Mission: Shock Force,Strategy,2007,3.3,Big Time Software,Paradox Interactive,9936,T
833,Aggressive Inline,Sports,2002,7.8,"Z-Axis, Ltd.",Acclaim Entertainment,7096,T
834,Dragon Rage,Shooter,2001,6.4,3DO,3DO,9998,T
835,ATV Offroad Fury 3,Racing,2004,8.4,Climax Group,SouthPeak Games,8150,E
836,Diablo II: Lord of Destruction,Role-Playing,2001,9.1,Blizzard North,Vivendi Games,9776,M
837,Final Fantasy Fables: Chocobo Tales,Adventure,2006,7.4,h.a.n.d. Inc.,Ubisoft,9648,E
838,Rayman 2: Revolution,Platform,2000,8.2,Ubisoft,Ubisoft,7741,E
839,NBA Jam,Sports,2010,7,EA Canada,Electronic Arts,7458,E
840,NBA 2K14,Sports,2013,4.9,Visual Concepts,Take-Two Interactive,8054,E
841,Street Fighter Anniversary Collection,Fighting,2004,8.7,Capcom,Capcom,8528,T
842,Dead Rising 2: Off the Record,Action,2011,5.3,Capcom Vancouver,Capcom,9225,M
843,X-Men: Destiny,Action,2011,4.8,Silicon Knights,Activision,9551,T
844,Sacred 3,Role-Playing,2014,4.1,Deep Silver,Deep Silver,6782,M
845,pro evolution soccer 2011,Sports,2010,5.9,Konami,Konami Digital Entertainment,5878,E
846,Siren,Adventure,2003,7.8,SCE Japan Studio,Sony Computer Entertainment,9119,M
847,TimeSplitters 2,Shooter,2002,7.7,Free Radical Design,Eidos Interactive,6943,T
848,Donkey Kong Country Returns,Platform,2010,8.6,Retro Studios,Nintendo,8577,E
849,Kirby: Mass Attack,Platform,2011,8.6,HAL Labs,Nintendo,6429,E
850,FIFA World Cup Germany 2006,Sports,2006,6.6,EA Canada,Electronic Arts,8277,E
851,Dragon Ball Z: Burst Limit,Fighting,2008,7.6,"Dimps Corporation, Namco Bandai Games",Atari,7629,T
852,Killzone 3,Shooter,2011,7.9,Guerrilla,Sony Computer Entertainment,9368,M
853,DarkStar One,Simulation,2006,7.2,Ascaron Entertainment GmbH,Ubisoft,5168,T
854,Far Cry Instincts,Shooter,2005,5.7,Ubisoft Montreal,Ubisoft,5584,M
855,Shrek Swamp Kart Speedway,Racing,2002,8.9,Prolific,TDK Mediactive,5983,E
856,X-Men Origins: Wolverine,Action,2009,7.5,Griptonite Games,Activision,8561,T
857,The Witcher: Enhanced Edition,Role-Playing,2008,8.5,CD Projekt Red Studio,Atari,8679,M
858,Karaoke Revolution Volume 3,Misc,2004,7.8,Harmonix Music Systems,Konami Digital Entertainment,9819,E
859,NHL 2004,Sports,2003,7.6,EA Sports,Electronic Arts,7360,E
860,Crash Tag Team Racing,Racing,2005,7,Radical Entertainment,Vivendi Games,8839,E10+
861,Harry Potter and the Sorcerer's Stone,Action,2001,7.1,Griptonite Games,Electronic Arts,6024,E
862,Soldier of Fortune: Gold Edition,Shooter,2001,6.8,Pipe Dream Interactive,Codemasters,5347,M
863,Dragon Age: Inquisition,Role-Playing,2014,7.4,BioWare,Electronic Arts,7676,M
864,Assassin's Creed: Revelations,Action,2011,7.4,Ubisoft Montreal,Ubisoft,9188,M
865,NASCAR The Game: Inside Line,Racing,2012,4.5,Eutechnyx,Activision,8767,E
866,Tom Clancy's Splinter Cell,Action,2003,8.7,Ubisoft Shanghai,Ubisoft,9950,T
867,Street Fighter IV,Fighting,2009,7.3,Capcom,Capcom,8407,T
868,Pro Evolution Soccer 2015,Sports,2014,5.8,Konami,Konami Digital Entertainment,9434,T
869,Captain Morgane and the Golden Turtle,Adventure,2012,6.2,Wizarbox,Reef Entertainment,6585,T
870,Jack Keane,Adventure,2008,7,Legacy Interactive,Kalypso Media,7502,T
871,Strider 2,Platform,2000,8.1,Capcom,Virgin Interactive,9549,E
872,The LEGO Movie Videogame,Action,2014,7.1,TT Games,Warner Bros. Interactive Entertainment,7290,E10+
873,Celebrity Sports Showdown,Sports,2008,4.6,EA Canada,Electronic Arts,8989,E
874,18 Wheeler: American Pro Trucker,Racing,2001,5.7,Acclaim Studios Cheltenham,Acclaim Entertainment,7592,E
875,LEGO Indiana Jones: The Original Adventures,Action,2008,7.7,Traveller's Tales,LucasArts,6349,E10+
876,Mario Hoops 3 on 3,Sports,2006,8,Square Enix,Nintendo,9431,E
877,Wii Play,Misc,2006,6.6,Nintendo,Nintendo,8846,E
878,Terraria,Action,2014,7.7,Engine Software,505 Games,5957,T
879,007 Racing,Racing,2000,4.6,Eutechnyx,Electronic Arts,7291,T
880,GrimGrimoire,Strategy,2007,7.9,Vanilla Ware,Tecmo Koei,7206,E10+
881,Phantasy Star Universe,Role-Playing,2006,7.4,Sonic Team,Sega,6013,T
882,Backyard Baseball,Sports,2003,9.4,Humongous Entertainment,Infogrames,8412,E
883,MLB Power Pros 2008,Sports,2008,8.7,Konami,Konami Digital Entertainment,8996,E
884,SimCity,Simulation,1988,2.2,Maxis,Maxis,8812,E10+
885,Dynasty Warriors: Gundam 2,Action,2008,6.5,Omega Force,Namco Bandai Games,5283,T
886,Mortal Kombat: Unchained,Fighting,2006,8.8,JGI Entertainment,Midway Games,5252,M
887,Juiced 2: Hot Import Nights,Racing,2007,7.6,Juice Games,THQ,8088,T
888,NBA 2K10,Sports,2009,7.8,Visual Concepts,Take-Two Interactive,9702,E
889,Homefront: The Revolution,Shooter,2016,3.8,Deep Silver Dambuster Studios,Deep Silver,5078,M
890,Virtua Tennis 2009,Sports,2009,6.3,Sumo Digital,Sega,6447,E
891,Bad Boys: Miami Takedown,Shooter,2004,2,Blitz Games,Empire Interactive,8633,M
892,Monopoly,Misc,2008,5.8,EA Bright Light,Electronic Arts,8817,E
893,Root Letter,Adventure,2016,7.5,Kadokawa,PQube,5351,T
