id,title,genre,release_year,popularity,developer,publisher,price_per_day,rating
1,Dead or Alive: Dimensions,Fighting,2011,8.2,Team Ninja,Ubisoft Annecy,8654,T
2,Yaiba: Ninja Gaiden Z,Action,2014,4.5,"Spark Unlimited, comcept",Tecmo Koei,6113,M
3,Dynasty Warriors Gundam,Action,2007,6.8,"Koei, Omega Force",Namco Bandai Games,9033,T
4,Kengo: Master of Bushido,Fighting,2000,8.4,Light Weight,Ubisoft,5044,M
5,Watch Dogs,Action,2014,6.4,Ubisoft Romania,Ubisoft,8578,M
6,JU-ON: The Grudge,Action,2009,5.6,FeelPlus,Rising Star Games,6655,M
7,FIFA Soccer 11,Sports,2010,8,EA Sports,Electronic Arts,8485,E
8,Sorcery,Action,2012,7.3,The Workshop,Sony Computer Entertainment,5764,E10+
9,MLB 06: The Show,Sports,2006,8.9,SCEA San Diego Studios,Sony Computer Entertainment,9048,E
10,Major League Baseball 2K8,Sports,2008,5.6,Kush Games,Bethesda Softworks,5819,E
11,NCAA Football 2005,Sports,2004,9,EA Sports,Electronic Arts,7108,E
12,EyeToy Play,Misc,2003,7.5,"SCEE, Zoe Mode",Sony Computer Entertainment,5452,E
13,Tony Hawk's American Wasteland,Sports,2005,7.7,Neversoft Entertainment,Activision,7546,T
14,Inversion,Shooter,2012,5.4,Saber Interactive,Namco Bandai Games,9355,M
15,The Darkness II,Shooter,2012,7.5,Digital Extremes,Take-Two Interactive,6036,M
16,Need for Speed Rivals,Racing,2013,5.8,Ghost Games,Electronic Arts,6102,E10+
17,Alias,Action,2004,6,Acclaim Studios Cheltenham,Acclaim Entertainment,8790,T
18,Kingdoms of Amalur: Reckoning,Role-Playing,2012,7.7,Big Huge Games,Electronic Arts,9500,M
19,Untold Legends: The Warriors Code,Role-Playing,2006,8.3,Sony Online Entertainment,Ubisoft,9744,T
20,Six Flags Fun Park,Misc,2009,7.1,7 Studios,Ubisoft,5100,E10+
21,Cabela's African Safari,Sports,2006,5,FUN Labs,Activision Value,7927,T
22,Kung Fu Panda,Action,2008,7.8,Beenox,Activision,6358,E10+
23,Hellboy: The Science of Evil,Action,2008,6.1,Krome Studios,Konami Digital Entertainment,7516,T
24,Silent Hunter: Wolves of the Pacific,Simulation,2007,6.9,Ubisoft Romania,Ubisoft,5275,T
25,Sniper Elite V2,Shooter,2012,6.8,Rebellion,505 Games,6227,M
26,Bee Movie Game,Action,2007,5.8,Beenox,Activision,8916,E
27,Batman: Rise of Sin Tzu,Action,2003,7.7,Ubisoft Montreal,Ubisoft,5849,T
28,WWE 2K16,Sports,2015,7.4,Yuke's,Take-Two Interactive,7399,T
29,Fur Fighters: Viggo's Revenge,Action,2001,7.3,Bizarre Creations,Acclaim Entertainment,6271,T
30,Mega Man Anniversary Collection,Platform,2005,9.2,Atomic Planet Entertainment,Capcom,7882,E
31,Dance Central 3,Misc,2012,8,Harmonix Music Systems,Microsoft Game Studios,8666,T
32,Tony Hawk's Pro Skater 4,Sports,2002,8.5,Neversoft Entertainment,Activision,8892,T
33,MySims Agents,Adventure,2009,8.6,Electronic Arts,Electronic Arts,5671,E
34,Hot Wheels: Stunt Track Challenge,Racing,2004,8.1,Climax Group,THQ,5226,E
35,Harry Potter and the Goblet of Fire,Action,2005,6.7,Electronic Arts,Electronic Arts,9384,E10+
36,Bullet Witch,Shooter,2006,6.1,Cavia Inc.,Atari,5369,M
37,NBA Live 08,Sports,2007,6.2,EA Canada,Electronic Arts,6228,E
38,Catwoman,Action,2004,6.1,Argonaut Games,Electronic Arts,8128,T
39,Shrek SuperSlam,Action,2005,7.8,Shaba Games,Activision,5491,E10+
40,WWE SmackDown vs Raw 2008,Fighting,2007,6.6,Amaze Entertainment,THQ,8029,T
41,IL-2 Sturmovik: Birds of Prey,Simulation,2009,8.4,Gaijin Entertainment,505 Games,7966,T
42,Chaos Legion,Action,2003,8.2,Capcom,Capcom,5070,T
43,Metroid Prime Hunters,Shooter,2006,8,Nintendo,Nintendo,7162,T
44,Wipeout 2048,Racing,2012,8.2,Studio Liverpool,Sony Computer Entertainment,7448,E10+
45,Dragon Ball Z: Collectible Card Game,Misc,2002,5.5,ImaginEngine,Infogrames,7837,E
46,State of Emergency 2,Shooter,2006,5.8,DC Studios,SouthPeak Games,6920,M
47,Tomb Raider: Anniversary,Action,2007,8.3,Crystal Dynamics,Eidos Interactive,9225,T
48,The Sims: Bustin' Out,Simulation,2003,9,Maxis,Electronic Arts,8583,T
49,Psi-Ops: The Mindgate Conspiracy,Shooter,2004,8.9,Midway,Midway Games,9528,M
50,MTV Music Generator 2,Misc,2001,8.5,Jester Interactive,Codemasters,8815,T
51,The Guy Game,Misc,2004,6.7,Top Heavy Studios,Gathering of Developers,8809,M
52,Eragon,Action,2006,7.6,Amaze Entertainment,Vivendi Games,6042,T
53,Ys: Memories of Celceta,Action,2012,8.8,Falcom,Nihon Falcom Corporation,8884,T
54,Tecmo Bowl: Kickoff,Sports,2008,7.3,Polygon Magic,Tecmo Koei,6401,E
55,Shin Megami Tensei: Persona,Role-Playing,2009,8,ITL,Atlus,7310,T
56,All-Star Baseball 2004,Sports,2003,7.5,Acclaim Studios Austin,Acclaim Entertainment,9603,E
57,Damage Inc.: Pacific Squadron WWII,Simulation,2012,5.5,Mad Catz,Mad Catz,8087,T
58,Street Fighter V,Fighting,2016,2.9,Capcom,Capcom,7992,T
59,Marvel: Ultimate Alliance 2,Role-Playing,2009,7.3,Vicarious Visions,Activision,8351,T
60,Earthworm Jim 2,Platform,2002,5.7,Super Empire,Vivendi Games,6102,E
61,Damnation,Shooter,2009,2.8,Blue Omega,Codemasters,9479,M
62,NFL Blitz 20-03,Sports,2002,7.8,Point of View,Midway Games,5469,E
63,Big Brain Academy,Misc,2005,7.4,Nintendo,Nintendo,8156,E
64,Skylanders Imaginators,Platform,2016,5.5,Toys for Bob,Activision,6533,E10+
65,Far Cry: Primal,Action,2016,4.8,Ubisoft Montreal,Ubisoft,8213,M
66,BioShock The Collection,Shooter,2016,8.5,2K Games,Take-Two Interactive,8198,M
67,ESPN NBA Basketball,Sports,2003,8.4,Visual Concepts,Sega,6119,E
68,Remember Me,Action,2013,7.5,DONTNOD Entertainment,Capcom,5606,M
69,RLH: Run Like Hell,Shooter,2003,8,Digital Mayhem,Avalon Interactive,9538,M
70,Infamous: First Light,Action,2014,7.5,Sucker Punch,Sony Computer Entertainment,9246,T
71,Cubivore: Survival of the Fittest,Adventure,2002,8.5,Nintendo,Nintendo,6385,E
72,Max Payne 3,Shooter,2012,7.8,Rockstar Studios,Take-Two Interactive,6503,M
73,RIFT,Role-Playing,2011,7.3,Trion Worlds,Unknown,6710,T
74,nail'd,Racing,2010,7.1,Techland,Deep Silver,8984,E10+
75,Army of Two: The 40th Day,Shooter,2010,7.3,EA Montreal,Electronic Arts,6243,M
76,Rio,Misc,2011,7,Eurocom Entertainment Software,THQ,6443,E10+
77,The Lost Vikings,Puzzle,2003,9.1,Mass Media,Activision,9911,E
78,Risen 2: Dark Waters,Role-Playing,2012,6,Piranha Bytes,Deep Silver,6396,M
79,F1 2011,Racing,2011,7.2,Codemasters,Codemasters,7790,E
80,Borderlands: The Pre-Sequel,Shooter,2014,6.3,2K Australia,Take-Two Interactive,8454,M
81,How to Train Your Dragon 2,Adventure,2014,4.9,Torus Games,Little Orbit,7614,E10+
82,The Hobbit,Platform,2003,8.6,Inevitable Entertainment,Vivendi Games,6296,E
83,Land of the Dead: Road to Fiddler's Green,Shooter,2005,5.8,Brainbox Games,Groove Games,6710,M
84,LEGO Pirates of the Caribbean: The Video Game,Action,2011,7,Traveller's Tales,Disney Interactive Studios,8384,E10+
85,Syndicate,Shooter,2012,7.1,Starbreeze,Electronic Arts,9428,M
86,Hello Kitty: Roller Rescue,Action,2005,6.8,Xpec,Empire Interactive,6362,E
87,Mortal Kombat: Deadly Alliance,Fighting,2002,8.7,Midway,Midway Games,9827,M
88,Ephemeral Fantasia,Role-Playing,2000,6.3,KCEJ,Konami Digital Entertainment,5176,T
89,BeyBlade VForce: Super Tournament Battle,Action,2002,7.5,Takara,Atari,8491,E
90,F.E.A.R. 3,Shooter,2011,7,Day 1 Studios,Warner Bros. Interactive Entertainment,9297,M
91,Homefront: The Revolution,Shooter,2016,3.5,Deep Silver Dambuster Studios,Deep Silver,7907,M
92,Black * Rock Shooter: The Game,Role-Playing,2011,7.2,"Image Epoch, Imageepoch",Unknown,8497,T
93,Tales of the World: Radiant Mythology,Role-Playing,2006,7.8,Alfa System,Ubisoft,5829,T
94,The Settlers 7: Paths to a Kingdom,Strategy,2010,5.2,Blue Byte,Ubisoft,9337,E10+
95,Need for Speed Carbon: Own the City,Racing,2006,7.9,EA Canada,Electronic Arts,6449,E10+
96,Broken Sword: Shadow of the Templars - The Director's Cut,Adventure,2009,8.1,Revolution Software,Ubisoft,7637,T
97,Jak and Daxter: The Lost Frontier,Platform,2009,6.3,High Impact Games,Sony Computer Entertainment,5328,E10+
98,The Godfather II,Action,2009,7.2,EA Redwood Shores,Electronic Arts,6896,M
99,Suikoden Tierkreis,Role-Playing,2008,7.4,Konami,Konami Digital Entertainment,5519,E10+
100,James Bond 007: Agent Under Fire,Shooter,2002,7.5,Electronic Arts,Electronic Arts,6151,T
101,Diablo,Role-Playing,1996,8.7,Blizzard Entertainment,Activision,5646,M
102,Need for Speed: Hot Pursuit,Racing,2010,6.7,Criterion Games,Electronic Arts,5331,E10+
103,EyeToy: Kinetic,Sports,2005,8.3,SCEE London Studio,Sony Computer Entertainment,8605,E
104,WWE SmackDown vs. Raw 2010,Fighting,2009,8.1,Yuke's,THQ,7457,T
105,MySims SkyHeroes,Action,2010,5.5,Behaviour Interactive,Electronic Arts,7079,E10+
106,NCAA March Madness 07,Sports,2007,7.1,EA Canada,Electronic Arts,5901,E
107,ESPN NFL 2K5,Sports,2004,8.2,Visual Concepts,Sega,9985,E
108,"Ed, Edd n Eddy: The Mis-Edventures",Platform,2005,7.9,Artificial Mind and Movement,Midway Games,8838,E
109,TMNT: Mutant Melee,Fighting,2005,2.8,Konami Computer Entertainment Hawaii,Konami Digital Entertainment,6725,T
110,Wave Race: Blue Storm,Racing,2001,8.3,Nintendo,Nintendo,5979,E
111,The Evil Within,Action,2014,5.9,Tango Gameworks,Bethesda Softworks,6328,M
112,F1 2015,Racing,2015,6.3,Codemasters,Codemasters,7292,E
113,Army Men: Major Malfunction,Shooter,2006,4,Team 17,Global Star,9305,T
114,Plants vs. Zombies: Garden Warfare,Shooter,2014,7.3,PopCap,Electronic Arts,5302,E10+
115,The Sims 3,Simulation,2010,6.4,Exient Entertainment,Electronic Arts,7335,E
116,Juiced,Racing,2005,9.1,Juice Games,THQ,5107,T
117,Pirates of the Caribbean: At World's End,Action,2007,6.9,Eurocom Entertainment Software,Disney Interactive Studios,7260,T
118,Crash of the Titans,Action,2007,5.8,Radical Entertainment,Vivendi Games,8362,E10+
119,The Saboteur,Action,2009,8,Pandemic Studios,Electronic Arts,8760,M
120,Mario Kart 8,Racing,2014,9.1,Nintendo,Nintendo,7933,E
121,Dragon Ball: Fusions,Role-Playing,2016,7.6,Ganbarion,Namco Bandai Games,5942,T
122,Peter Jackson's King Kong: The Official Game of the Movie,Action,2005,7.5,Ubisoft Montpellier,Ubisoft,8098,T
123,Armored Core: For Answer,Simulation,2008,7.7,From Software,Ubisoft,8352,T
124,Legend of Kay,Action,2005,7.3,Neon Studios,JoWood Productions,8894,E10+
125,Dishonored 2,Action,2016,6.8,Arkane Studios,Bethesda Softworks,8308,M
126,Battlefield 4,Shooter,2013,6,EA DICE,Electronic Arts,7177,M
127,FIFA Soccer 10,Sports,2009,3.8,EA Sports,Electronic Arts,6370,E
128,Tomb Raider: Legend,Action,2006,7.3,Crystal Dynamics,Eidos Interactive,6842,T
129,NHL 2002,Sports,2001,8.8,EA Sports,Electronic Arts,5943,E
130,Tom Clancy's HAWX 2,Action,2010,3.8,Ubisoft,Ubisoft,7040,T
131,Shadow of Destiny,Adventure,2009,8.2,Konami,Konami Digital Entertainment,6374,T
132,Kingdoms of Amalur: Reckoning,Role-Playing,2012,7.6,Big Huge Games,Electronic Arts,6262,M
133,FIFA Soccer 06,Sports,2005,7.8,EA Canada,Electronic Arts,9376,E
134,Empire Earth,Strategy,2001,8.2,Stainless Steel Studios,Vivendi Games,7566,T
135,Dokapon Journey,Role-Playing,2008,7,Suzak,Sting,7220,E10+
136,Gravity Games Bike: Street Vert Dirt,Sports,2002,4.1,Midway,Midway Games,6216,T
137,Whirl Tour,Sports,2002,7,Papaya Studios,Crave Entertainment,9173,E
138,Metal Slug 3,Shooter,2004,5.1,SNK,Ignition Entertainment,9558,T
139,Mercury Meltdown Revolution,Action,2007,7.4,Ignition Entertainment,Ignition Entertainment,5039,E
140,Shadows of the Damned,Action,2011,8.4,Grasshopper Manufacture,Electronic Arts,5081,M
141,The Simpsons: Road Rage,Racing,2001,7.7,Fox Interactive,Electronic Arts,7892,T
142,Phoenix Wright: Ace Attorney Trilogy,Adventure,2014,9,NATSUME ATARI Inc.,Capcom,6542,T
143,Folklore,Role-Playing,2007,8.2,"Game Republic, JapanStudio",Sony Computer Entertainment,5453,T
144,Kao the Kangaroo Round 2,Platform,2005,8.7,Tate Interactive,JoWood Productions,6903,E
145,Port Royale 2,Strategy,2004,7.7,Ascaron Entertainment GmbH,Ascaron Entertainment GmbH,9210,T
146,Geometry Wars: Galaxies,Shooter,2007,7.9,Kuju Entertainment,Vivendi Games,9832,E
147,Disgaea DS,Role-Playing,2008,7.5,Nippon Ichi Software,Square Enix,9054,T
148,LEGO Star Wars III: The Clone Wars,Action,2011,6.1,Traveller's Tales,LucasArts,8944,E10+
149,The SpongeBob SquarePants Movie,Platform,2004,7.8,Heavy Iron Studios,THQ,9130,E
150,The Elder Scrolls IV: Oblivion,Role-Playing,2007,8,4J Studios,Ubisoft,5340,M
151,Twisted Metal: Black,Racing,2001,8.4,Incognito Inc.,Sony Computer Entertainment,9440,M
152,Tiger Woods PGA Tour 2005,Sports,2004,8.9,EA Sports,Electronic Arts,8562,E
153,Kung Fu Rider,Action,2010,3.7,SCE Japan Studio,Sony Computer Entertainment,5823,E10+
154,Call of Duty 3,Shooter,2006,7.4,Treyarch,Activision,9829,T
155,Naruto Shippuden: Ultimate Ninja Storm Revolution,Fighting,2014,7.3,CyberConnect2,Namco Bandai Games,8826,T
156,Fate/Extra,Role-Playing,2010,8.1,"Image Epoch, Imageepoch",Marvelous Interactive,6836,T
157,Sonic Generations,Platform,2011,8.3,"Sega, Sonic Team",Sega,9872,E
158,Madden NFL 07,Sports,2006,4.2,EA Tiburon,Electronic Arts,5597,E
159,Football Manager Handheld 2011,Sports,2010,7.7,Sports Interactive,Sega,9655,E
160,Dungeon Siege III,Role-Playing,2011,4.7,Obsidian Entertainment,Square Enix,6831,T
161,Commandos 2: Men of Courage,Strategy,2002,8.4,Pyro Studios,Eidos Interactive,7272,T
162,Dead Island: Riptide,Action,2013,5.9,Techland,Deep Silver,6759,M
163,Little King's Story,Strategy,2009,8.8,Cing,Rising Star Games,7782,T
164,Doom 3,Shooter,2005,7.4,Vicarious Visions,Activision,8754,M
165,Iron Man,Action,2008,6.5,Artificial Mind and Movement,Sega,6851,T
166,Contra: Shattered Soldier,Shooter,2002,6.6,KCET,Konami Digital Entertainment,7695,T
167,The Adventures of Tintin: The Game,Action,2011,5.7,Ubisoft Montpellier,Ubisoft,6187,E10+
168,FIFA Soccer 08,Sports,2007,7.4,EA Canada,Electronic Arts,8615,E
169,LEGO Marvel Super Heroes,Action,2013,7.6,TT Games,Warner Bros. Interactive Entertainment,7411,E10+
170,WWE '12,Fighting,2011,5.2,Yuke's,THQ,6705,T
171,Legaia 2: Duel Saga,Role-Playing,2001,8.4,Prokion,Eidos Interactive,6835,T
172,Napoleon Dynamite: The Game,Puzzle,2007,4.6,7 Studios,Crave Entertainment,8570,E10+
173,Call of Duty 3,Shooter,2006,6.9,Treyarch,Activision,7607,T
174,Army Corps of Hell,Action,2011,6.6,"Entersphere, Inc.",Square Enix,7968,M
175,Football Manager 2010,Sports,2009,9,Sports Interactive,Sega,7686,E
176,The King of Fighters XI,Fighting,2006,8.5,SNK Playmore,Ignition Entertainment,6139,T
177,NHL 16,Sports,2015,6,"EA Sports, EA Canada",Electronic Arts,8541,E10+
178,Link's Crossbow Training,Shooter,2007,7.1,Nintendo,Nintendo,6169,T
179,Shiren the Wanderer,Role-Playing,2008,7.6,ChunSoft,Sega,6852,T
180,Def Jam Icon,Action,2007,6.3,EA Chicago,Electronic Arts,9353,M
181,Need for Speed: Hot Pursuit 2,Racing,2002,8.3,EA Seattle,Electronic Arts,5120,E
182,EA Sports Active,Sports,2009,8.7,EA Canada,Electronic Arts,6544,E
183,Ace Combat 2,Simulation,1997,8.2,Namco,Sony Computer Entertainment,5749,T
184,Angry Birds Trilogy,Action,2012,3.5,"Rovio Mobile, Rovio Entertainment",Activision,5224,E
185,World Soccer Winning Eleven 8 International,Sports,2004,8.4,KCET,Konami Digital Entertainment,6853,E
186,KORG DS-10 Synthesizer,Misc,2008,8.2,AQ Interactive,AQ Interactive,9064,E
187,Tony Hawk's Pro Skater 3,Sports,2001,7.5,Neversoft Entertainment,Activision,7253,T
188,Thor: God of Thunder,Action,2011,5.7,Liquid Entertainment,Sega,5880,T
189,Dynasty Warriors 5,Action,2005,8.8,Omega Force,Tecmo Koei,5086,T
190,Max Payne,Shooter,2001,8.3,neo Software,Take-Two Interactive,5095,M
191,Kirby: Triple Deluxe,Platform,2014,8.8,HAL Labs,Nintendo,8895,E
192,Stake: Fortune Fighters,Fighting,2003,3.7,Gameness Art Software,Metro 3D,6827,T
193,Driver 2 Advance,Action,2002,6.6,Sennari Interactive,Atari,5424,T
194,NCAA March Madness 06,Sports,2005,7.2,EA Canada,Electronic Arts,6494,E
195,MLB 14: The Show,Sports,2014,7.7,SCEA San Diego Studios,Sony Computer Entertainment America,8040,E
196,Driver: San Francisco,Racing,2011,6.2,Ubisoft Reflections,Ubisoft,8366,T
197,Anno 1701: Dawn of Discovery,Simulation,2007,7.5,Sunflowers Interactive,Touchstone,8372,E
198,Metal Gear Solid 3: Snake Eater,Action,2004,9.3,KCEJ,Konami Digital Entertainment,9833,M
199,Grand Theft Auto IV,Action,2008,6.6,Rockstar Toronto,Take-Two Interactive,8975,M
200,Thunderstrike: Operation Phoenix,Simulation,2001,8.1,Core Design Ltd.,Eidos Interactive,5280,T
201,Onimusha 3: Demon Siege,Action,2004,8.6,Capcom,Capcom,5233,M
202,God of War Collection,Action,2014,7.4,"Sanzaru Games, Sanzaru Games, Inc.",Sony Computer Entertainment,8913,M
203,Dead Space 2,Shooter,2011,8.4,Visceral Games,Electronic Arts,7845,M
204,Dungeon Siege III,Role-Playing,2011,5.9,Obsidian Entertainment,Square Enix,6962,T
205,Mega Man Zero 4,Platform,2005,9.1,Inti,Capcom,7928,E
206,Blue Dragon,Role-Playing,2006,7.8,"Mistwalker, Artoon",Microsoft Game Studios,8583,T
207,MLB 15: The Show,Sports,2015,7.8,SCEA San Diego Studios,Sony Computer Entertainment,6579,E
208,Steins;Gate 0,Adventure,2015,9.3,5pb,PQube,5828,M
209,Knights Contract,Action,2011,6,Game Republic,Namco Bandai Games,6977,M
210,Family Guy: Back to the Multiverse,Action,2012,6.4,Heavy Iron Studios,Activision,9673,M
211,Gravity Rush,Action,2012,8.5,SCE Japan Studio,Sony Computer Entertainment,9804,T
212,Angry Birds Trilogy,Action,2012,4.6,Exient Entertainment,Activision,7937,E
213,NBA 2K8,Sports,2007,6,Visual Concepts,Take-Two Interactive,8876,E
214,NCAA Football 2003,Sports,2002,8.6,EA Sports,Electronic Arts,7564,E
215,F1 2010,Racing,2010,6.6,Codemasters Birmingham,Codemasters,5792,E
216,Pro Evolution Soccer 2012,Action,2011,6.6,Konami,Konami Digital Entertainment,5551,E
217,NBA Live 06,Sports,2005,5.6,EA Canada,Electronic Arts,5408,E
218,Teenage Mutant Ninja Turtles,Action,2003,8.4,Konami,Konami Digital Entertainment,7349,E
219,The Sims 3: Generations,Simulation,2011,3.6,The Sims Studio,Electronic Arts,6060,T
220,Final Fantasy X,Role-Playing,2001,8.7,SquareSoft,Sony Computer Entertainment,6993,T
221,The Sims,Simulation,2000,7.9,Maxis,Electronic Arts,6364,T
222,Little League World Series Baseball 2008,Sports,2008,8,Now Production,Activision,6554,E
223,Onimusha Tactics,Strategy,2003,8.7,Capcom,Capcom,9315,T
224,Spyro: Season of Ice,Platform,2001,8,Digital Eclipse,Vivendi Games,6921,E
225,Body and Brain Connection,Misc,2010,4.8,Namco Bandai Games,Namco Bandai Games,8784,E
226,LEGO Star Wars II: The Original Trilogy,Action,2006,8,Traveller's Tales,LucasArts,5610,E10+
227,Agatha Christie's The ABC Murders,Adventure,2016,7.5,Microids,Microids,9557,T
228,NightCaster,Action,2002,5.7,Jaleco Entertainment,Microsoft Game Studios,8963,T
229,Mobile Suit Gundam: Extreme VS Force,Action,2015,7.3,Bandai Namco Games,Namco Bandai Games,7280,E10+
230,Zoo Tycoon DS,Strategy,2005,6.6,Altron,THQ,6082,E
231,Phantom Brave: We Meet Again,Role-Playing,2009,7.1,Nippon Ichi Software,Nippon Ichi Software,5216,T
232,Seven Samurai 20XX,Action,2004,7,Dimps Corporation,Sega,5230,T
233,UFC Undisputed 2010,Fighting,2010,7,Yuke's,THQ,7277,T
234,World Destruction League: Thunder Tanks,Action,2000,1.2,3DO,3DO,9841,T
235,Mafia III,Action,2016,5.1,Hangar 13,Take-Two Interactive,7699,M
236,FIFA Soccer 13,Action,2012,6.6,Electronic Arts,Electronic Arts,7930,E
237,Supreme Commander,Strategy,2007,8.3,Gas Powered Games,THQ,9910,E10+
238,Tom Clancy's HAWX 2,Action,2010,6.8,Ubisoft,Ubisoft,5621,T
239,The Powerpuff Girls: Chemical X-Traction,Action,2001,6.3,VIS Entertainment,BAM! Entertainment,9409,E
240,Mighty No. 9,Platform,2016,4.6,Inti Creates,Deep Silver,8885,E10+
241,The Wonderful 101,Action,2013,8.5,PlatinumGames,Nintendo,5776,T
242,SpongeBob SquigglePants 3D,Misc,2011,6,WayForward,THQ,6490,E
243,Hulk,Action,2003,7.4,Radical Entertainment,Universal Interactive,6735,T
244,The Wolf Among Us,Adventure,2014,8.4,Telltale Games,Telltale Games,8602,M
245,Test Drive Unlimited,Racing,2007,8.1,Eden Studios,Atari,5563,T
246,Prince of Persia: The Sands of Time,Action,2003,8.4,Ubisoft,Ubisoft,5392,T
247,Hannah Montana: The Movie,Adventure,2009,3.8,n-Space,Disney Interactive Studios,7701,E
248,Guitar Hero: Warriors of Rock,Misc,2010,7.1,Neversoft Entertainment,Activision,6428,T
249,Song of the Deep,Action,2016,6.9,Insomniac Games,Insomniac Games,6784,E
250,Portal Runner,Platform,2001,6.7,3DO,3DO,5396,E
251,Pokemon Ranger: Shadows of Almia,Role-Playing,2008,8.2,"HAL Labs, Creatures Inc.",Nintendo,6764,E
252,Romance of the Three Kingdoms IX,Strategy,2003,8.9,Koei,Tecmo Koei,5635,E
253,Blazing Angels 2: Secret Missions of WWII,Simulation,2007,7.2,Ubisoft Romania,Ubisoft,7686,T
254,Spore Hero,Simulation,2009,7.1,Maxis,Electronic Arts,8342,E10+
255,Resident Evil 5,Action,2009,7.5,Capcom,Capcom,9270,M
256,World Poker Tour,Misc,2005,8.6,Coresoft,Take-Two Interactive,8581,T
257,Burnout Revenge,Racing,2005,8.4,Criterion Games,Electronic Arts,5684,E10+
258,Time Crisis 3,Shooter,2003,8.1,Namco,Namco Bandai Games,9922,T
259,Need for Speed: The Run,Action,2011,6,Black Box,Electronic Arts,7324,T
260,MySims Kingdom,Simulation,2008,8.1,EA Redwood Shores,Electronic Arts,6495,E
261,Killer is Dead,Action,2013,7.2,Grasshopper Manufacture,Deep Silver,8236,M
262,Mario Tennis: Power Tour,Sports,2005,8,Camelot Software Planning,Nintendo,6265,E
263,Bayonetta,Action,2009,7.7,Nex Entertainment,Sega,8934,M
264,Dragon Ball Z: Tenkaichi Tag Team,Fighting,2010,8.6,Spike,Namco Bandai Games,8349,T
265,Sega GT,Racing,2000,7.7,TOSE,Sega,6376,E
266,Mana Khemia 2: Fall of Alchemy,Role-Playing,2008,8.2,Gust,Gust,6991,T
267,AirForce Delta Storm,Shooter,2001,7.1,KCE Studios,Konami Digital Entertainment,6682,E
268,Deus Ex: Human Revolution,Shooter,2011,8.3,Eidos Montreal,Square Enix,7862,M
269,Cooking Mama: World Kitchen,Simulation,2008,4.9,Cooking Mama Limited,505 Games,5229,E
270,Beowulf: The Game,Action,2007,5.2,Ubisoft,Ubisoft,9701,M
271,Puzzle Quest: Challenge of the Warlords,Puzzle,2007,6.2,Vicious Cycle,D3Publisher,6171,E10+
272,Tiger Woods PGA Tour,Sports,2005,7.4,EA Canada,Electronic Arts,7817,E
273,Madden NFL 08,Sports,2007,7.8,EA Tiburon,Electronic Arts,5466,E
274,Nostalgia,Role-Playing,2008,7.6,Matrix Software,Tecmo Koei,6168,E10+
275,BioShock,Shooter,2007,8.5,"Irrational Games, 2K Marin",Take-Two Interactive,7364,M
276,Mahjong Cub3D,Puzzle,2011,5.3,SunSoft,Sunsoft,7209,E
277,Blood Drive,Racing,2010,6.5,Sidhe Interactive,Activision,9436,M
278,Syphon Filter: Dark Mirror,Shooter,2007,7.8,Sony Bend,Sony Computer Entertainment,8095,T
279,Operation Flashpoint: Dragon Rising,Shooter,2009,6.5,Codemasters,Codemasters,9233,M
280,NHL 2004,Sports,2003,6.5,EA Black Box,Electronic Arts,9616,E
281,Silent Hill 2: Restless Dreams,Action,2001,8.3,KCET,Konami Digital Entertainment,6945,M
282,EA Sports UFC,Sports,2014,6.1,EA Sports,Electronic Arts,6329,T
283,Defiance,Shooter,2013,6.5,Trion Worlds,Trion Worlds,7507,M
284,Harvest Moon: Animal Parade,Simulation,2008,8.9,Natsume,Rising Star Games,5917,E
285,Hatsune Miku: Project Diva X,Misc,2016,8,Sega,Sega,5969,T
286,Midnight Club II,Racing,2003,7.6,Rockstar San Diego,Take-Two Interactive,7457,T
287,Opoona,Role-Playing,2007,7.7,ArtePiazza,Tecmo Koei,6559,E10+
288,Marvel Nemesis: Rise of the Imperfects,Fighting,2005,5.7,"EA Canada, Nihilistic",Electronic Arts,9980,T
289,Battlefield 3,Shooter,2011,7.5,EA DICE,Electronic Arts,7639,M
290,Tom Clancy's Rainbow Six: Lockdown,Shooter,2005,6.6,"Red Storm Entertainment, Ubisoft Montreal",Ubisoft,7785,M
291,Cars,Racing,2006,2.1,Helixe,THQ,7307,E
292,Looney Tunes: Sheep Raider,Platform,2001,8.8,Infogrames,Infogrames,7563,E
293,Namco Museum Remix,Misc,2007,6.3,TOSE,Atari,7010,E
294,Mage Knight: Destiny's Soldier,Strategy,2006,7.1,Big Blue Bubble Inc.,Namco Bandai Games,7963,E10+
295,WWE SmackDown vs. Raw 2009,Fighting,2008,8.5,Yuke's,THQ,8152,T
296,Resident Evil 5,Action,2009,7.1,Capcom,Capcom,7102,M
297,Giants: Citizen Kabuto,Shooter,2001,6.9,Digital Mayhem,Interplay,8034,T
298,MX vs. ATV Untamed,Racing,2007,6.1,Rainbow Studios,THQ,7411,E
299,WinBack: Covert Operations,Shooter,2000,7.7,Omega Force,Midas Interactive Entertainment,9503,T
300,Invizimals,Strategy,2009,7.3,Novarama,Sony Computer Entertainment,8566,E10+
301,DJ Hero 2,Misc,2010,7.8,FreeStyleGames,Activision,9538,T
302,FIFA Soccer 2005,Sports,2004,8.5,EA Canada,Electronic Arts,5529,E
303,Call of Duty: Finest Hour,Shooter,2004,7.8,Spark Unlimited,Activision,7747,T
